customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,store_id,create_timestamp,update_timestamp
382,Salzburg Collectables,Pipps,Georg ,6562-9555,Geislweg 14,NULL,Salzburg,NULL,5020,Austria,1401,71700.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
335,Cramer Spezialit,Cramer,Philip ,0555-09555,Maubelstr. 90,NULL,Brandenburg,NULL,14776,Germany,NULL,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
247,Messner Shopping Network,Messner,Renate ,069-0555984,Magazinweg 7,NULL,Frankfurt,NULL,60528,Germany,NULL,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
319,Mini Classics,Frick,Steve,9145554562,3758 North Pendale Street,NULL,White Plains,NY,24067,USA,1323,102700.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
282,Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,Monitor Money Building,815 Pacific Hwy,Chatswood,NSW,2067,Australia,1611,93300.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
489,Double Decker Gift Stores, Ltd,Smith,Thomas ,(171) 555-7555,120 Hanover Sq.,,London,NULL,WA1 1DP,0,1501.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
177,Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,1-6-20 Dojima,NULL,Kita-ku,Osaka, 530-0003,Japan,1621,81200.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
303,Schuyler Imports,Schuyler,Bradley,+31 20 491 9555,Kingsfordweg 151,NULL,Amsterdam,NULL,1043 GR,Netherlands,NULL,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
148,Dragon Souveniers, Ltd.,Natividad,Eric,+65 221 7555,Bronz Sok.,Bronz Apt. 3/6 Tesvikiye,Singapore,NULL,079903,0,1621.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
103,Atelier graphique,Schmitt,Carine ,40.32.2555,54, rue Royale,,Nantes,NULL,44000,0,1370.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
129,Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,NULL,San Francisco,CA,94217,USA,1165,64600.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
146,Saveley & Henriot, Co.,Saveley,Mary ,78.32.5555,2, rue du Commerce,NULL,Lyon,,69004,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
216,Enaco Distributors,Saavedra,Eduardo ,(93) 203 4555,Rambla de Catalu,NULL,Barcelona,NULL,08022,Spain,1702,60300.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
465,Anton Designs, Ltd.,Anton,Carmen,+34 913 728555,c/ Gobelas, 19-1 Urb. La Florida,NULL,Madrid,,28023,0.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
129,Mini Wheels Co.,Murphy,Julie,6505555787,5557 North Pendale Street,NULL,San Francisco,CA,94217,USA,1165,64600.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
181,Vitachrome Inc.,Frick,Michael,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA,1286,76400.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
448,Scandinavian Gift Ideas,Larsson,Martha,0695-34 6555,,NULL,G̦teborg,NULL,S-844 67,Sweden,1504,116400.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
121,Baane Mini Imports,Bergulfsen,Jonas ,07-98 9555,Erling Skakkes gate 78,NULL,Stavern,NULL,4110,Norway,1504,81700.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
177,Osaka Souveniers Co.,Kentary,Mory,+81 06 6342 5555,1-6-20 Dojima,NULL,Kita-ku,Osaka, 530-0003,Japan,1621,81200.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
0,,,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
382,Salzburg Collectables,Pipps,Georg ,6562-9555,Geislweg 14,NULL,Salzburg,NULL,5020,Austria,1401,71700.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
314,Petit Auto,Dewey,Catherine ,(02) 5554 67,Rue Joseph-Bens 532,NULL,Bruxelles,NULL,B-1180,Belgium,1401,79900.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
278,Rovelli Gifts,Rovelli,Giovanni ,035-640555,Via Ludovico il Moro 22,NULL,Bergamo,NULL,24100,Italy,1401,119600.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
452,Mini Auto Werke,Mendel,Roland ,7675-3555,Kirchgasse 6,NULL,Graz,NULL,8010,Austria,1401,45300.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
227,Heintze Collectables,Ibsen,Palle,86 21 3555,Smagsloget 45,NULL,Aalborg,NULL,8200,Denmark,1401,120800.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
0,,,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
282,Souveniers And Things Co.,Huxley,Adrian,+61 2 9495 8555,Monitor Money Building,815 Pacific Hwy,Chatswood,NSW,2067,Australia,1611,93300.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
0,,,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
216,Enaco Distributors,Saavedra,Eduardo ,(93) 203 4555,Rambla de Catalu,NULL,Barcelona,NULL,08022,Spain,1702,60300.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
204,Online Mini Collectables,Barajas,Miguel,6175557555,7635 Spinnaker Dr.,NULL,Brickhaven,MA,58339,USA,1188,68700.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
320,Mini Creations Ltd.,Huang,Wing,5085559555,4575 Hillside Dr.,NULL,New Bedford,MA,50553,USA,1188,94500.00,NULL,2021-10-08 09:54:55,2021-10-08 09:54:55
0,,,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
0,,,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
0,,,,,,NULL,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL
