customerNumber,customerName,contactLastName,contactFirstName,phone,addressLine1,addressLine2,city,state,postalCode,country,salesRepEmployeeNumber,creditLimit,store_id,create_timestamp,update_timestamp
406,Auto Canal+ Petit,Perrier,Dominique,(1) 47.55.6555,25  rue Lauriston,NULL,Paris,NULL,75016,France,1337,95000.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
167,Herkku Gifts,Oeztan,Veysel,+47 2267 3215,Brehmen St. 121,PR 334 Sentrum,Bergen,NULL,N 5804,Norway  ,1504,96800.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
473,Frau da Collezione,Ricotti,Franco,+39 022515555,20093 Cologno Monzese,Alessandro Volta 16,Milan,NULL,NULL,Italy,1401,34800.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
201,UK Collectables  Ltd.,Devon,Elizabeth,(171) 555-2282,12  Berkeley Gardens Blvd,NULL,Liverpool,NULL,WX1 6LT,UK,1501,92700.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
323,Down Under Souveniers  Inc,Graham,Mike,+64 9 312 5555,162-164 Grafton Road,Level 2,Auckland  ,NULL,NULL,New Zealand,1612,88000.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
250,Lyon Souveniers,Da Silva,Daniel,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,NULL,Paris,NULL,75508,France,1337,68100.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
484,Iberia Gift Imports  Corp.,Roel,Jos,(95) 555 82 82,C/ Romero  33,NULL,Sevilla,NULL,41101,Spain,1702,65700.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
382,Salzburg Collectables,Pipps,Georg ,6562-9555,Geislweg 14,NULL,Salzburg,NULL,5020,Austria,1401,71700.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
128,Blauer See Auto  Co.,Keitel,Roland,+49 69 66 90 2555,Lyonerstr. 34,NULL,Frankfurt,NULL,60528,Germany,1504,59700.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
206,Asian Shopping Network  Co,Walker,Brydey,+612 9411 1555,Suntec Tower Three,8 Temasek,Singapore,NULL,038988,Singapore,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
458,Corrida Auto Replicas  Ltd,Sommer,Mart,(91) 555 22 82,C/ Araquil  67,NULL,Madrid,NULL,28023,Spain,1702,104600.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
335,Cramer Spezialit,Cramer,Philip ,0555-09555,Maubelstr. 90,NULL,Brandenburg,NULL,14776,Germany,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
307,Der Hund Imports,Andersen,Mel,030-0074555,Obere Str. 57,NULL,Berlin,NULL,12209,Germany,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
361,Kommission Auto,Josephs,Karin,0251-555259,Luisenstr. 48,NULL,Passau,NULL,44087,Germany,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
209,Mini Caravy,Citeaux,Fr,88.60.1555,24  place Kl,NULL,Strasbourg,NULL,67000,France,1370,53800.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
242,Alpha Cognac,Roulet,Annette ,61.77.6555,1 rue Alsace-Lorraine,NULL,Toulouse,NULL,31000,France,1370,61100.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
459,Warburg Exchange,Ottlieb,Sven ,0241-039123,Walserweg 21,NULL,Aachen,NULL,52066,Germany,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
247,Messner Shopping Network,Messner,Renate ,069-0555984,Magazinweg 7,NULL,Frankfurt,NULL,60528,Germany,NULL,0.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
141,Euro+ Shopping Channel,Freyre,Diego ,(91) 555 94 44,C/ Moralzarzal  86,NULL,Madrid,NULL,28034,Spain,1370,227600.00,NULL,2021-10-08 15:00:01,2021-10-08 15:00:01
